price_range,mean_total_crimes
0,9116.25
10,5809.5
20,9086.444444444445
30,8507.084337349397
40,9756.154696132597
50,9270.507368421053
60,9222.638888888889
70,9168.297833935017
80,8886.982692307693
90,9147.89222614841
100,8998.415238095238
110,8682.013986013986
120,8353.928712871288
130,8848.546666666667
140,7995.039156626506
150,8567.408033826638
160,7994.242753623188
170,8882.623003194889
180,8241.581673306773
190,9163.927927927927
200,8184.47868852459
210,10837.478260869566
220,8617.338983050848
230,8862.423076923076
240,8584.65625
250,8808.226315789474
260,13483.619565217392
270,9644.846846846847
280,9106.306666666667
290,8025.464285714285
300,8765.39423076923
310,9677.62962962963
320,9514.838235294117
330,8808.897435897436
340,9480.142857142857
350,8494.55421686747
360,9061.947368421053
370,8948.46
380,10726.307692307691
390,8530.613636363636
400,9059.2
410,9389.23076923077
420,8655.666666666666
430,8403.111111111111
440,8292.5625
450,8179.114285714286
460,9679.833333333334
470,7078.625
480,7978.090909090909
490,7144.913043478261
500,7840.305555555556
510,9257.75
520,8793.846153846154
530,7574.125
540,8521.25
550,6763.923076923077
560,8390.0
570,8896.2
580,10013.142857142857
590,9311.733333333334
600,7148.434782608696
610,7804.333333333333
620,7754.888888888889
630,8407.75
640,11825.888888888889
650,7334.3
660,8829.142857142857
670,5187.636363636364
680,10818.0
690,7953.111111111111
700,8540.666666666666
710,11808.333333333334
730,12697.0
740,6143.0
750,8847.444444444445
760,5785.0
770,8876.0
780,12026.0
790,9560.0
800,8012.454545454545
810,4535.0
830,15212.333333333334
840,4535.0
850,5134.666666666667
870,8459.0
890,8467.25
900,5591.0
910,8459.0
920,6497.0
950,10662.0
960,8459.0
970,8714.5
980,6143.0
990,8192.038461538461
