price_range,mean_total_listings_count
0,6.75
10,3.0
20,30.75
30,36.25301204819277
40,13.185082872928177
50,5.831578947368421
60,7.507936507936508
70,10.342960288808664
80,8.35
90,12.104240282685513
100,13.112380952380953
110,23.482517482517483
120,23.518811881188117
130,36.72533333333333
140,29.83433734939759
150,33.43128964059196
160,42.61594202898551
170,28.04153354632588
180,22.05577689243028
190,36.05855855855856
200,10.927868852459016
210,61.42391304347826
220,75.32203389830508
230,41.01923076923077
240,84.64583333333333
250,21.305263157894736
260,219.84782608695653
270,73.72972972972973
280,170.6
290,243.86904761904762
300,14.586538461538462
310,590.8518518518518
320,175.14705882352942
330,655.5897435897435
340,323.57142857142856
350,272.5421686746988
360,29.526315789473685
370,128.62
380,307.7435897435897
390,15.136363636363637
400,127.6
410,122.15384615384616
420,4.875
430,5.111111111111111
440,5.875
450,6.714285714285714
460,2.75
470,96.125
480,71.45454545454545
490,10.826086956521738
500,7.361111111111111
510,896.75
520,7.461538461538462
530,1244.75
540,2.875
550,610.0
560,9.2
570,1.6
580,125.0
590,3.533333333333333
600,39.04347826086956
610,262.0
620,171.33333333333334
630,1248.0
640,798.8888888888889
650,716.5
660,111.57142857142857
670,78.45454545454545
680,1.5
690,1.6666666666666667
700,9.25
710,5.666666666666667
730,1435.0
740,7.0
750,4.777777777777778
760,2.0
770,14.333333333333334
780,14.0
790,1.75
800,6.7272727272727275
810,3.0
830,2394.0
840,2.0
850,2.1666666666666665
870,1.0
890,5.5
900,95.5
910,11.0
920,7.0
950,5.333333333333333
960,1.0
970,9.5
980,1.0
990,43.65384615384615
